User,ETH-USDT,ETH-USDC,ETH-DAI,ETH-UST,ETH-BUSD,BSC-USDT,BSC-USDC,BSC-DAI,BSC-BUSD,Total
0x2993e1d02b11377f44455aedc618c705acbb0591,5000,0,0,0,0,0,0,0,0,5000
0x50693e63a0abb825b1ba99564954d45b6e45a632,5000,0,0,0,0,0,0,0,0,5000
0xf4d6635a15f79d00700db4d8a40cc7baa655563d,0,2000,0,0,0,0,0,0,0,2000
0xfb7d0a2a0041e67891f5e3f61288b6fe10c4cf57,0,9000,0,0,0,0,0,0,0,9000
0xbde901046e67708c571cffa4af722ba6993f2cf2,0,7400,0,0,0,0,0,0,0,7400
0xa383edd2e2f979da5a7f7b3d794fd4aa9c40e52a,3324.062447,0,0,0,0,0,0,0,0,3324.062447
0xcc49a6d063ba72929600d1ed60d863a540b2565a,0,0,5600,0,0,0,0,0,0,5600
0x5c9dbb8949175b1d1ad8cb96d5c2d9074378c653,0,2419.042229,0,0,0,0,0,0,0,2419.042229
0x8e883fb3724150623e6b0b18300ebf3dca256261,34980,0,0,0,0,0,0,0,0,34980
0x34e2cb7513a50b19f450a067ed5230a86c13a2e9,35000,0,0,0,0,0,0,0,0,35000
0x429a635ed4daf9529c07d5406d466b349ec34361,0,1000,0,0,0,0,0,0,0,1000
0xd0cf3720c49d2d280479d2bfa11dc1fac9e57b32,0,5456.356392,0,0,0,0,0,0,0,5456.356392
0xac4a1c8c3633d1ac61b976236d33d781775cad17,1100,0,0,0,0,0,0,0,0,1100
0xae770616364a7a2d91a987db1ac11be21e3473e3,0,10000,0,0,0,0,0,0,0,10000
0xa94a194cbce345ed664952420ddb4ded6c47904b,13200,0,0,0,0,0,0,0,0,13200
0x4d928359e8556197f161f4927a928dfde9c3d1a8,0,35000,0,0,0,0,0,0,0,35000
0xbea645da9c7f6de1f7e287759ccbfd5ab9f57c08,0,10000,0,0,0,0,0,0,0,10000
0x77c2da8140693996be6bc72776cb1f04a77a4e68,1497.274229,0,0,0,0,0,0,0,0,1497.274229
0x14e1442a50085df5953d5c1b5b7c58102e6eb04d,0,0,5039.940431,0,0,0,0,0,0,5039.940431
0xe8300fbfe3f0e6182cb797a1f9b4e6bb65961aa8,35000,0,0,0,0,0,0,0,0,35000
0x1563547dd0c62a802779bf55af1184e65bb1a6e5,0,35000,0,0,0,0,0,0,0,35000
0xf7476db5b717ac661c027e684456115ab1e728c3,0,35000,0,0,0,0,0,0,0,35000
0xe3d85d7d504f57b48f0b32d9294c38803cf0b33e,35000,0,0,0,0,0,0,0,0,35000
0x6061205c7ada4fb1ef98bebf4adb04abf97ba051,0,0,10000,0,0,0,0,0,0,10000
0x32f42b0023c0791db512e08698ddd9a054b7bb8c,0,0,10100,0,0,0,0,0,0,10100
0x876aee1c3ecf7538d45144ed38e13da9c9a877ee,1385,0,0,0,0,0,0,0,0,1385
0xcf8da23f47a4e15489072ba14b20a249cf1bb117,2000,0,0,0,0,0,0,0,0,2000
0xe02d3750e3a4e58e29d531f0b35f924793c4604d,2500,0,0,0,0,0,0,0,0,2500
0x7d91a13332ff2e4d98061a24c96bcd1cf5d31879,0,35000,0,0,0,0,0,0,0,35000
0xd291a13c349ced36fad8a653de6ebe7504f82cb9,35000,0,0,0,0,0,0,0,0,35000
0x36162c7b2d4a94686d74f8c9649769e1733ee42e,35000,0,0,0,0,0,0,0,0,35000
0x4ae3bef80e99960427ba86fd3bcab3028d781c57,0,500,0,0,0,0,0,0,0,500
0xe496145f7f4b3b8d74f243aff65bfaf0f8e84be1,0,2090.88,0,0,0,0,0,0,0,2090.88
0x259f962e77262ee8d97cc6a112d0e0321323ea0d,5000,0,0,0,0,0,0,0,0,5000
0xca3e3ff71782cda9fb5a7f2234287061f141e881,0,35000,0,0,0,0,0,0,0,35000
